#  extra_sigma   eta1   eta2   eta3   eta4   ndim   maxNp   Np   P0   K0   phi0   ecc0   w0   staleness   vsys
# 
2.095627200000000079e-01 1.003328799999999993e-01 1.159958810000000007e+00 1.958146222999999964e+01 4.909432380000000151e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.306111480999999941e+01 1.039078479999999916e+00 3.049310950000000187e+00 3.268668599999999813e-01 2.677728979999999925e+00 6.000000000000000000e+00 -3.092645014000000003e+01
3.637687600000000243e-01 5.624986699999999784e-01 2.227995429999999999e+00 3.959642852000000346e+01 3.931811290000000181e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.106802219000000065e+01
1.606921500000000058e-01 6.880936399999999509e-01 1.900656590000000090e+00 2.860973222000000149e+01 6.934060300000000066e-01 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.084393903999999864e+01
5.579681000000000224e-02 1.041633250000000066e+00 7.013424849999999822e+00 1.239454605000000065e+01 1.314064649999999945e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.105243974000000051e+01
4.734845200000000198e-01 1.308738200000000018e-01 6.541476750000000173e+00 1.370896802999999942e+01 4.657062110000000033e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.281571504000000061e+01 1.528678910000000002e+00 2.995508029999999877e+00 3.532782700000000053e-01 3.161612149999999843e+00 3.000000000000000000e+00 -3.095779818000000105e+01
4.682720799999999794e-01 2.348113929999999794e+00 4.031254412999999914e+01 1.277875389000000084e+01 1.862296299999999905e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.093266453000000027e+01
7.103648700000000371e-01 7.524210999999999538e-01 3.092329349999999977e+00 1.463697235000000063e+01 1.616408999999999985e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.054329007999999845e+01
5.740674799999999633e-01 6.627804099999999865e-01 2.739819279999999857e+00 1.028312518999999980e+01 4.767173539999999932e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.308936147000000005e+01 1.586406039999999962e+00 2.445132769999999844e+00 4.625371999999999817e-01 3.807654020000000195e+00 2.000000000000000000e+00 -3.021033976000000010e+01
9.725279999999999342e-03 4.808508499999999963e-01 2.360279590000000205e+00 1.997652354999999957e+01 1.817492389999999958e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.283076136999999939e+01 8.406659199999999554e-01 2.736239149999999842e+00 4.970955000000000235e-01 2.886307009999999895e+00 4.000000000000000000e+00 -3.100443831000000117e+01
1.625252699999999995e-01 3.897824699999999920e-01 6.343204029999999882e+00 3.473567780999999854e+01 3.737184000000000061e-01 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.304466898999999991e+01 1.393295069999999969e+00 3.176484729999999868e+00 4.019782599999999761e-01 2.843143330000000191e+00 0.000000000000000000e+00 -3.079392354999999881e+01
